"Timestamp","Message"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 40 162.216.150.112 56736 1701225980 egress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 162.216.150.112 - 10.0.0.174 6 us-east-1 10.0.0.174 23107 1701225920 - - subnet-066b93a317b004cf7 4 2 IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 44 10.0.0.174 2869 1701225980 ingress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 10.0.0.174 - 162.216.150.95 6 us-east-1 162.216.150.95 51072 1701225920 - - subnet-066b93a317b004cf7 2 - IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 40 162.216.150.95 51072 1701225980 egress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 162.216.150.95 - 10.0.0.174 6 us-east-1 10.0.0.174 2869 1701225920 - - subnet-066b93a317b004cf7 4 2 IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 88 10.0.0.174 16403 1701225980 ingress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 2 - 10.0.0.174 - 185.233.19.185 6 us-east-1 185.233.19.185 58914 1701225920 - - subnet-066b93a317b004cf7 6 - IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 40 185.233.19.185 58914 1701225980 egress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 185.233.19.185 - 10.0.0.174 6 us-east-1 10.0.0.174 16403 1701225920 - - subnet-066b93a317b004cf7 4 2 IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 44 10.0.0.174 2099 1701225980 ingress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 10.0.0.174 - 162.216.149.198 6 us-east-1 162.216.149.198 49958 1701225920 - - subnet-066b93a317b004cf7 2 - IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 40 162.216.149.198 49958 1701225980 egress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 162.216.149.198 - 10.0.0.174 6 us-east-1 10.0.0.174 2099 1701225920 - - subnet-066b93a317b004cf7 4 2 IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 80 10.0.0.174 50587 1701225980 ingress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 2 - 10.0.0.174 - 92.63.197.224 6 us-east-1 92.63.197.224 55831 1701225920 - - subnet-066b93a317b004cf7 6 - IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:45:20.000-03:00","709271087504 ACCEPT use1-az6 40 92.63.197.224 55831 1701225980 egress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 92.63.197.224 - 10.0.0.174 6 us-east-1 10.0.0.174 50587 1701225920 - - subnet-066b93a317b004cf7 4 2 IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:46:28.000-03:00","709271087504 ACCEPT use1-az6 44 10.0.0.174 45625 1701226040 ingress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 10.0.0.174 - 162.216.150.68 6 us-east-1 162.216.150.68 56731 1701225988 - - subnet-066b93a317b004cf7 2 - IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:46:28.000-03:00","709271087504 ACCEPT use1-az6 40 162.216.150.68 56731 1701226040 egress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 162.216.150.68 - 10.0.0.174 6 us-east-1 10.0.0.174 45625 1701225988 - - subnet-066b93a317b004cf7 4 2 IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:46:28.000-03:00","709271087504 ACCEPT use1-az6 40 10.0.0.174 5094 1701226040 ingress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 10.0.0.174 - 192.241.222.92 6 us-east-1 192.241.222.92 60300 1701225988 - - subnet-066b93a317b004cf7 2 - IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:46:28.000-03:00","709271087504 ACCEPT use1-az6 40 192.241.222.92 60300 1701226040 egress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 192.241.222.92 - 10.0.0.174 6 us-east-1 10.0.0.174 5094 1701225988 - - subnet-066b93a317b004cf7 4 2 IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:46:28.000-03:00","709271087504 ACCEPT use1-az6 44 10.0.0.174 47838 1701226040 ingress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 10.0.0.174 - 162.216.150.63 6 us-east-1 162.216.150.63 52200 1701225988 - - subnet-066b93a317b004cf7 2 - IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:46:28.000-03:00","709271087504 ACCEPT use1-az6 40 162.216.150.63 52200 1701226040 egress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 162.216.150.63 - 10.0.0.174 6 us-east-1 10.0.0.174 47838 1701225988 - - subnet-066b93a317b004cf7 4 2 IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:46:28.000-03:00","709271087504 ACCEPT use1-az6 80 10.0.0.174 3391 1701226040 ingress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 2 - 10.0.0.174 - 77.90.185.150 6 us-east-1 77.90.185.150 48509 1701225988 - - subnet-066b93a317b004cf7 6 - IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:46:28.000-03:00","709271087504 ACCEPT use1-az6 40 77.90.185.150 48509 1701226040 egress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 77.90.185.150 - 10.0.0.174 6 us-east-1 10.0.0.174 3391 1701225988 - - subnet-066b93a317b004cf7 4 2 IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:46:28.000-03:00","709271087504 REJECT use1-az6 28 10.0.0.174 0 1701226040 ingress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 10.0.0.174 EC2 44.213.45.216 1 us-east-1 44.213.45.216 0 1701225988 - - subnet-066b93a317b004cf7 0 - IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:46:28.000-03:00","709271087504 ACCEPT use1-az6 44 10.0.0.174 53524 1701226040 ingress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 10.0.0.174 - 205.210.31.109 6 us-east-1 205.210.31.109 55116 1701225988 - - subnet-066b93a317b004cf7 2 - IPv4 5 vpc-0476592dc5bf52026"
"2023-11-28T23:46:28.000-03:00","709271087504 ACCEPT use1-az6 40 205.210.31.109 55116 1701226040 egress i-03cafbe4aa8f52070 eni-03ab7af9546ef7cce OK 1 - 205.210.31.109 - 10.0.0.174 6 us-east-1 10.0.0.174 53524 1701225988 - - subnet-066b93a317b004cf7 4 2 IPv4 5 vpc-0476592dc5bf52026"
